gene,TE
yheN,0.33
yheO,0.48
yheS,0.92
yheT,0.39
yheU,0.92
yheV,NA
yhfA,2.36
yhfG,NA
yhfK,0.22
yhfL,NA
yhfS,NA
yhfT,NA
yhfU,NA
yhfW,NA
yhfX,NA
yhfY,NA
yhfZ,0.83
yhgA,NA
yhgE,0.33
yhgF,2.01
yhgN,1.13
yhhA,NA
yhhH,NA
yhhJ,0.45
yhhK,2.08
yhhL,1.24
yhhM,0.62
yhhN,0.8
yhhQ,0.86
yhhS,0.37
yhhT,NA
yhhW,2.27
yhhX,2.34
yhhY,NA
yhhZ,NA
yhiD,NA
yhiI,0.53
yhiJ,NA
yhiM,NA
yhiN,0.54
yhiQ,0.51
yhiR,1.34
yhjA,NA
yhjB,NA
yhjC,0.27
yhjD,1.13
yhjE,1.16
yhjG,NA
yhjH,NA
yhjJ,0.98
yhjK,0.48
yhjR,0.32
yhjV,1.07
yhjX,NA
yhjY,NA
yiaA,NA
yiaB,NA
yiaC,NA
yiaD,3.83
yiaF,1.34
yiaG,NA
yiaJ,0.79
yiaK,NA
yiaL,NA
yiaM,NA
yiaN,NA
yiaO,NA
yiaQ,NA
yiaR,NA
yiaS,NA
yiaT,NA
yiaU,NA
yiaV,NA
yiaW,NA
yiaY,NA
yibA,NA
yibB,0.78
yibD,NA
yibF,1.35
yibG,NA
yibH,NA
yibI,NA
yibL,4.07
yibN,1.19
yibQ,0.5
yibT,1.63
yicC,1.68
yicG,NA
yicH,0.49
yicI,NA
yicJ,NA
yicL,0.8
yicN,NA
yicO,NA
yicR,0.01
yicS,NA
yidA,1.97
yidB,1.71
yidC,0.77
yidD,0.06
yidE,0.31
yidF,NA
yidG,NA
yidH,NA
yidI,NA
yidJ,NA
yidK,NA
yidL,NA
yidP,NA
yidQ,0.71
yidR,1.31
yidX,0.07
yidZ,0.35
yieE,0.41
yieF,1.53
yieH,0.71
yieK,NA
yieL,NA
yieP,1.55
yifB,NA
yifE,1.46
yifK,0.84
yifL,2.3
yigA,0.32
yigB,0.9
yigE,NA
yigF,NA
yigG,NA
yigI,1.77
yigL,1.26
yigM,0.44
yigP,0.44
yigZ,0.22
yihA,1.71
yihD,3.32
yihF,NA
yihG,0.84
yihI,2.97
yihL,NA
yihM,NA
yihN,NA
yihO,NA
yihP,NA
yihQ,NA
yihR,NA
yihS,NA
yihT,NA
yihU,NA
yihV,NA
yihW,0.7
yihX,0.61
yihY,0.22
yiiD,0.77
yiiE,NA
yiiF,NA
yiiG,NA
yiiM,1.7
yiiQ,0.78
yiiR,0.86
yiiS,1.22
yiiX,0.07
yijD,1.2
yijE,0.27
yijF,NA
yijO,NA
yijP,1.19
yjaA,NA
yjaB,NA
yjaG,1.37
yjaH,0.04
yjaZ,NA
yjbB,0.81
yjbD,NA
yjbE,NA
yjbF,NA
yjbG,NA
yjbH,NA
yjbJ,0.32
yjbL,NA
yjbM,NA
yjbQ,0.39
yjbR,1.23
yjbS,NA
yjbT,NA
yjcB,0.76
yjcC,NA
yjcD,1.12
yjcE,0.7
yjcF,NA
yjcH,NA
yjcO,0.73
yjcS,NA
yjcZ,NA
yjdA,NA
yjdC,0.86
yjdF,NA
yjdI,NA
yjdJ,NA
yjdK,NA
yjdL,NA
yjdM,5.11
yjdN,NA
yjdO,NA
yjdP,NA
yjeA,1.57
yjeE,1.16
yjeF,0.27
yjeH,0.33
yjeI,1.73
yjeJ,NA
yjeK,0.94
yjeM,0.6
yjeN,NA
yjeO,NA
yjeP,0.38
yjeS,0.33
yjeT,NA
yjeV,NA
yjfC,NA
yjfF,NA
yjfI,NA
yjfJ,NA
yjfK,NA
yjfL,NA
yjfM,NA
yjfN,NA
yjfP,NA
yjfY,NA
yjfZ,NA
yjgA,1.3
yjgB,NA
yjgF,3.32
yjgH,NA
yjgI,NA
yjgJ,2.41
yjgL,NA
yjgM,2.51
yjgN,NA
yjgR,0.7
yjgZ,NA
yjhB,NA
yjhC,1.53
yjhF,NA
yjhG,0.43
yjhH,NA
yjhI,NA
yjhP,NA
yjhQ,NA
yjhU,0.7
yjhX,NA
yjiA,1.04
yjiC,NA
yjiG,0.03
yjiH,NA
yjiJ,NA
yjiK,NA
yjiL,NA
yjiM,NA
yjiN,NA
yjiR,0.24
yjiS,NA
yjiX,0.51
yjiY,0.94
yjjA,1.67
yjjB,NA
yjjG,0.7
yjjI,NA
yjjJ,0.35
yjjK,1.98
yjjL,NA
yjjM,NA
yjjN,NA
yjjP,NA
yjjQ,NA
yjjU,0.59
yjjV,0.25
yjjW,NA
yjjX,1.89
yjjY,NA
yjjZ,NA
yjtD,1.95
ykfA,NA
ykfB,NA
ykfF,NA
ykfG,NA
ykfH,NA
ykfI,NA
ykfM,NA
ykgB,NA
ykgC,NA
ykgD,NA
ykgE,NA
ykgF,NA
ykgG,NA
ykgH,NA
ykgI,NA
ykgJ,NA
ykgL,NA
ykgM,NA
ykgO,NA
ykgR,NA
ylaB,0.26
ylaC,1.5
ylbA,1.76
ylbF,NA
ylcG,NA
ylcH,NA
ylcI,NA
yliE,0.36
yliF,0.75
yliI,NA
yliJ,2.09
yliL,NA
ymbA,0.92
ymcE,0.01
ymdA,NA
ymdB,NA
ymdC,NA
ymdF,NA
ymfA,NA
ymfD,NA
ymfE,NA
ymfI,NA
ymfJ,NA
ymfL,NA
ymfM,NA
ymfQ,NA
ymfR,NA
ymgA,NA
ymgC,NA
ymgD,2.49
ymgE,NA
ymgF,NA
ymgG,1.65
ymgI,NA
ymgJ,NA
ymiA,0.93
ymiB,NA
ymjA,NA
ynaE+ydfK,NA
ynaI,0.71
ynaJ,1.61
ynaK,NA
ynbA,NA
ynbB,NA
ynbC,NA
ynbD,NA
ynbE,NA
ynbG,NA
yncA,NA
yncB,NA
yncD,1.32
yncE,2.57
yncG,NA
yncH,NA
yncJ,NA
yncL,NA
yneE,0.74
yneF,0.03
yneG,0.65
yneH,0.75
yneJ,0.83
yneK,NA
yneM,NA
ynfA,NA
ynfB,2.23
ynfC,0.79
ynfD,NA
ynfE,NA
ynfF,NA
ynfG,NA
ynfH,0.11
ynfK,NA
ynfL,NA
ynfM,NA
ynfN,NA
ynfO,NA
ynhF,2.19
ynhG,NA
yniA,NA
yniB,0.91
yniC,2.58
yniD,NA
ynjA,NA
ynjB,0.95
ynjC,NA
ynjD,NA
ynjE,1.94
ynjF,0.94
ynjH,NA
ynjI,NA
yoaA,0.2
yoaB,4.08
yoaC,NA
yoaE,0.65
yoaF,NA
yoaG,NA
yoaH,NA
yoaI,NA
yoaJ,1.49
yoaK,0.2
yobA,3.05
yobB,NA
yobD,0.57
yobF,0.02
yobH,NA
yobI,NA
yodB,NA
yodC,NA
yodD,NA
yoeB,0.4
yoeI,1.44
yohC,NA
yohD,NA
yohF,NA
yohJ,NA
yohK,NA
yohN,1.83
yohO,1.38
yohP,NA
yojI,0.67
yojO,NA
ypaA,NA
ypdA,0.53
ypdB,0.55
ypdC,NA
ypdE,NA
ypdF,NA
ypdI,NA
ypdK,0.82
ypeA,0.68
ypeB,0.35
ypeC,NA
ypfG,NA
ypfH,1.15
ypfJ,0.9
ypfM,1.74
ypfN,0.99
yphA,NA
yphB,NA
yphC,NA
yphD,NA
yphE,NA
yphF,NA
yphG,NA
yphH,NA
ypjA,0.1
ypjD,0.81
ypjF,NA
ypjJ,NA
ypjK,NA
yqaA,0.02
yqaB,0.57
yqaE,2.52
yqcA,1.18
yqcC,1.7
yqcE,NA
yqcG,NA
yqeA,NA
yqeB,NA
yqeC,NA
yqeF,0.61
yqeG,1.1
yqeH,NA
yqeI,NA
yqeJ,NA
yqeK,NA
yqeL,NA
yqfA,0.16
yqfB,2.17
yqfG,NA
yqgA,NA
yqgB,0.46
yqgC,NA
yqgE,1.31
yqgF,0.63
yqhA,1.11
yqhC,1.35
yqhD,2.4
yqhG,NA
yqhH,NA
yqiA,0.23
yqiB,0.23
yqiC,4.52
yqiH,NA
yqiI,NA
yqiJ,NA
yqiK,NA
yqjA,0.59
yqjC,2.13
yqjD,3.12
yqjE,0.24
yqjF,NA
yqjG,NA
yqjH,2.83
yqjI,2.61
yqjK,0.14
yraH,NA
yraI,NA
yraJ,NA
yraK,NA
yraM,0.64
yraN,0.05
yraP,1.28
yraQ,1.32
yraR,NA
yrbA,2.02
yrbG,0.11
yrbL,0.61
yrbN,0.15
yrdA,1.76
yrdB,0.64
yrdD,0.22
yrfF,0.46
yrfG,0.59
yrhB,NA
yrhD,NA
ysaA,NA
ysaB,NA
ysgA,NA
yshB,1.75
ytcA,NA
ytfB,0.66
ytfE,NA
ytfF,0.26
ytfH,NA
ytfI,NA
ytfJ,1.72
ytfK,0.76
ytfL,0.88
ytfM,0.45
ytfN,0.24
ytfP,0.76
ytfQ,NA
ytfR,NA
ytfT,NA
ythA,NA
ytjA,NA
ytjB,0.29
ytjC,1.96
zapA,0.62
zapB,3.7
zinT,NA
zipA,0.61
zitB,NA
zntA,1.09
zntR,1.37
znuA,2.59
znuB,0.64
znuC,0.71
zraP,NA
zraR,0.39
zraS,0.11
zupT,0.77
zur,0.59
zwf,2.16
