gene,TE
fadR,1.93
fbaA,2.31
fbaB,NA
fbp,1.55
fcl,NA
fdhD,1.13
fdhE,1.28
fdhF,0.02
fdnG,0.04
fdnH,NA
fdnI,NA
fdoG,0.12
fdoH,0.24
fdoI,0.18
fdrA,NA
fdx,1.53
feaB,NA
feaR,NA
fecA,0.49
fecB,NA
fecC,NA
fecD,NA
fecE,0.72
fecI,0.3
fecR,0.51
feoA,NA
feoB,0.89
feoC,0.29
fepA,NA
fepB,1.51
fepC,NA
fepD,NA
fepE,NA
fepG,NA
fes,NA
ffh,1.28
fhlA,0.51
fhuA,1.05
fhuB,0.26
fhuC,0.47
fhuD,0.41
fhuE,NA
fhuF,0.5
fic,NA
fieF,0.35
fimA,3.19
fimB,1.56
fimC,NA
fimD,0.21
fimE,NA
fimF,NA
fimG,NA
fimH,NA
fimI,0.15
fimZ,NA
fis,3.17
fiu,1.46
fixA,NA
fixB,NA
fixC,NA
fixX,NA
fklB,3.38
fkpA,2.51
fkpB,0.5
fldA,2.62
fldB,1.33
flgA,NA
flgB,NA
flgC,NA
flgD,NA
flgE,1.39
flgF,NA
flgG,NA
flgH,NA
flgI,NA
flgJ,NA
flgK,NA
flgL,NA
flgM,NA
flgN,NA
flhA,NA
flhB,NA
flhC,0.89
flhD,0.96
flhE,NA
fliA,NA
fliC,0.55
fliD,NA
fliE,NA
fliF,NA
fliG,NA
fliH,NA
fliI,NA
fliJ,NA
fliK,NA
fliL,NA
fliM,NA
fliN,NA
fliO,NA
fliP,NA
fliQ,NA
fliR,NA
fliS,NA
fliT,NA
fliY,2.21
fliZ,NA
flk,0.68
flu,2.37
flxA,NA
fmt,0.91
fnr,1.32
focA,0.35
focB,NA
folA,1.51
folB,1.26
folC,1.06
folD,2.17
folE,2.47
folK,0.36
folM,0.72
folP,0.74
folX,2.04
fpr,1.3
frc,NA
frdA,1.03
frdB,0.91
frdC,0.71
frdD,0.95
fre,0.97
frlA,NA
frlB,NA
frlC,NA
frlD,NA
frlR,1.2
frmA,2.22
frmB,1.33
frmR,0.56
frr,1.73
frsA,1.28
fruA,0.88
fruB,1.34
fruK,1.11
fruR,1.14
frvA,NA
frvB,NA
frvR,NA
frvX,NA
frwB,NA
frwC,NA
frwD,NA
fryA,NA
fryB,NA
fryC,NA
fsaA,NA
fsaB,NA
fsr,1.03
ftnA,4.09
ftnB,0.97
ftsA,0.38
ftsB,0.16
ftsE,0.4
ftsH,0.54
ftsI,0.16
ftsK,0.46
ftsL,0.16
ftsN,0.5
ftsP,0.71
ftsQ,0.19
ftsW,0.21
ftsX,0.46
ftsY,1.05
ftsZ,1.31
fucA,NA
fucI,NA
fucK,NA
fucO,NA
fucP,NA
fucR,0.68
fucU,1.64
fumA,2.35
fumB,NA
fumC,2.02
fur,1.1
fusA,0.7
fxsA,0.82
gabD,NA
gabP,NA
gabT,NA
gadA+gadB,NA
gadC,NA
gadE,NA
gadW,0.45
gadX,0.25
galE,2.29
galF,0.95
galK,0.61
galM,1.18
galP,1.09
galR,0.9
galS,NA
galT,0.78
galU,2.14
gapA,2.78
garD,NA
garK,NA
garL,NA
garP,NA
garR,NA
gatA,0.64
gatB,0.56
gatC,0.8
gatD,1.44
gatY,1.48
gatZ,1.18
gcd,0.92
gcl,NA
gcp,1.53
gcvA,0.56
gcvH,3.07
gcvP,1.29
gcvR,0.49
gcvT,1.12
gdhA,1.71
gfcA,NA
gfcB,NA
gfcC,NA
gfcD,NA
gfcE,NA
ggt,NA
ghrA,2.03
ghrB,2.39
glcA,NA
glcB,1.69
glcC,0.55
glcD,NA
glcE,NA
glcF,NA
glcG,NA
gldA,NA
glf,1.28
glgA,0.29
glgB,0.2
glgC,0.51
glgP,0.38
glgS,NA
glgX,0.12
glk,2.42
glmM,1.61
glmS,1.17
glmU,0.65
glnA,2.18
glnB,2.12
glnD,0.53
glnE,0.37
glnG,0.49
glnH,2.22
glnK,NA
glnL,0.17
glnP,0.69
glnQ,1.18
glnS,1.7
gloA,3.18
gloB,1.57
glpA,NA
glpB,NA
glpC,NA
glpD,1.1
glpE,0.84
glpF,NA
glpG,0.53
glpK,2.15
glpQ,0.31
glpR,0.92
glpT,NA
glpX,1.77
glrK,0.21
glrR,0.37
gltA,1.49
gltB,0.87
gltD,1.05
gltF,2.47
gltI,1.86
gltJ,0.44
gltK,0.45
gltL,1.47
gltP,1.05
gltS,0.7
gltX,2.25
glxK,NA
glxR,NA
glyA,2.78
glyQ,1.44
glyS,1.52
gmd,NA
gmhB,1.66
gmk,0.89
gmm,NA
gmr,0.5
gnd,2.01
gnsA,3.72
gnsB,3.42
gntK,NA
gntP,NA
gntR,0.78
gntT,0.37
gntU,0.32
gntX,0.01
gor,1.8
gph,0.59
gpmA,3.76
gpmM,2.17
gpp,0.25
gpr,NA
gpsA,0.39
gpt,3.2
greA,2.53
greB,0.87
groL,1.74
groS,2.35
grpE,2.62
grxA,1.94
grxB,2.83
grxC,1.25
grxD,3.88
gshA,0.63
gshB,1.7
gsiA,0.25
gsiB,0.62
gsiC,0.17
gsiD,NA
gsk,1.62
gspA,NA
gspB,NA
gspC,NA
gspD,NA
gspE,NA
gspF,NA
gspG,NA
gspH,NA
gspI,NA
gspJ,NA
gspK,NA
gspL,NA
gspM,NA
gspO,NA
gss,1.62
gst,2.03
gtrA,0.35
gtrB,0.86
gtrS,0.54
guaA,1.9
guaB,2.45
guaC,1.63
guaD,NA
gudD,1.49
gudP,NA
gudX,NA
gutM,NA
gutQ,1.65
gyrA,0.97
gyrB,1.53
hcaB,NA
hcaC,NA
hcaD,NA
hcaE,NA
hcaF,NA
hcaR,NA
hcaT,0.41
hchA,1.43
hcp,NA
hcr,NA
hda,0.18
hdeA,NA
hdeB,NA
hdeD,NA
hdfR,1.08
hdhA,1.34
helD,0.73
hemA,0.32
hemB,1.82
hemC,0.82
hemD,0.13
hemE,1.36
hemF,0.4
hemG,1.04
hemH,1.03
hemL,1.71
hemN,0.87
hemX,0.78
hemY,0.65
hflC,0.83
hflD,0.38
hflK,0.83
hflX,0.2
hfq,2.03
hha,1.69
hicA,NA
hicB,NA
higA,NA
higB,NA
hinT,2.5
hipA,0.92
hipB,NA
hisA,0.79
hisB,1.27
hisC,1.27
hisD,1.16
hisF,0.97
hisG,2.22
hisH,0.9
hisI,2.01
hisJ,2.41
hisL,0.16
hisM,0.35
hisP,1.06
hisQ,0.31
hisS,0.94
hiuH,NA
hlyE,NA
hmp,2.97
hns,4.54
hofB,NA
hofC,NA
hofM,NA
hofN,NA
hofO,NA
hofP,NA
hofQ,NA
hokA,NA
hokB,0.02
hokC,NA
hokD,0.02
hokE,NA
holA,0.13
holB,0.27
holC,0.11
holD,0.16
holE,2.35
hpf,0.46
hpt,1.84
hrpA,1
hrpB,0.31
hscA,0.63
hscB,0.44
hscC,NA
hsdM,1.7
hsdR,0.75
hsdS,0.94
hslJ,1.65
hslO,2.15
hslR,0.33
hslU,1.81
hslV,1.41
hspQ,0.3
hsrA,0.07
htpG,2.28
htpX,1.2
htrE,NA
hupA,3.15
hupB,2.45
hyaA,NA
hyaB,NA
hyaC,NA
hyaD,NA
hyaE,NA
hyaF,NA
hybA,0.58
hybB,0.24
hybC,0.61
hybD,0.22
hybE,0.21
hybF,NA
hybG,NA
hybO,0.84
hycA,NA
hycB,NA
hycC,NA
hycD,NA
hycE,NA
hycF,NA
hycG,NA
hycH,NA
hycI,0.83
hydN,NA
hyfA,NA
hyfB,NA
hyfC,NA
hyfD,NA
hyfE,NA
hyfF,NA
hyfG,NA
hyfH,NA
hyfI,NA
hyfJ,NA
hyfR,NA
hyi,NA
hypA,NA
hypB,NA
hypC,NA
hypD,0.78
hypE,0.62
hypF,0.66
hyuA,NA
iaaA,0.27
iadA,1.77
iap,0.59
ibpA,1.24
ibpB,0.57
ibsA,NA
ibsB,NA
ibsC,NA
ibsD,NA
ibsE,NA
icd,2.56
iclR,0.39
idi,NA
idnD,NA
idnK,NA
idnO,NA
idnR,0.58
idnT,NA
ihfA,1.12
ihfB,1.92
ileS,1.4
ilvA,0.72
ilvB,1.62
ilvC,2.37
ilvD,0.97
ilvE,2.57
ilvH,NA
ilvI,0.58
ilvL,0.2
ilvM,NA
ilvN,1.57
ilvX,NA
ilvY,0.29
inaA,1.49
infA,1.83
infB,1.28
infC,0.3
insA,NA
insB,NA
insC,NA
insD,NA
insE,NA
insF,NA
insG,1.02
insH,NA
insI,NA
insJ,NA
insK,NA
insL,NA
insQ,0.11
intA,0.87
intD,0.08
intE,NA
intF,1.74
intR,0.05
intS,0.94
intZ,0.33
iraD,NA
iraM,NA
iraP,NA
iscA,0.62
iscR,1.34
iscS,1.66
iscU,1.81
iscX,0.95
ispA,0.55
ispB,1.01
ispD,0.28
ispE,0.14
ispF,0.65
ispG,0.65
ispH,1.02
ispU,0.27
ivbL,0.16
ivy,1.96
katE,NA
katG,1.71
kbaY,NA
kbaZ,NA
kbl,1.35
kch,1
kdgK,2.39
kdgR,1.72
kdgT,NA
kdpA,NA
kdpB,NA
kdpC,NA
kdpD,0.41
kdpE,0.71
kdpF,NA
kdsA,2.19
kdsB,1.31
kdsC,0.66
kdsD,0.56
kduD,NA
kduI,NA
kefA,0.89
kefB,0.19
kefC,0.52
kefF,NA
kefG,0.25
kgtP,0.79
kilR,NA
kptA,NA
kup,0.61
lacA,NA
lacI,0.82
lacY,NA
lacZ,NA
lamB,1.27
ldcA,1.4
ldcC,0.25
ldhA,1.96
ldrA+ldrC,NA
ldrB,NA
ldrD,0.01
lepA,1.44
lepB,0.38
leuA,0.99
leuB,1.29
leuC,1.65
leuD,1.78
leuE,0.83
leuL,0.29
leuO,NA
leuS,1.69
lexA,1.06
lgt,0.92
lhgO,NA
lhr,0.14
ligA,1.54
ligB,NA
ligT,0.26
lipA,2.13
lipB,1.03
lit,NA
livF,0.66
livG,0.53
livH,0.44
livJ,2.09
livK,1.5
livM,0.36
lldD,1.9
lldP,0.31
lldR,0.3
lnt,0.48
lolA,1.06
lolB,1.96
lolC,0.42
lolD,0.94
lolE,0.38
lon,1.03
lpcA,1.63
lpd,1.65
lplA,1.31
lplT,0.27
lpp,2.27
lptA,0.84
lptB,0.79
lptC,0.31
lptD,0.86
lptE,0.31
lptF,0.48
lptG,0.42
lpxA,0.28
lpxB,0.17
lpxC,0.5
lpxD,0.51
lpxH,0.12
lpxK,0.24
lpxL,1.56
lpxM,1.2
lpxP,NA
lpxT,1.07
lrhA,0.88
lrp,1.44
lspA,0.27
lsrA,NA
lsrB,NA
lsrC,NA
lsrD,NA
lsrF,NA
lsrG,NA
lsrK,NA
lsrR,NA
ltaE,1.45
luxS,2.52
lysA,1.54
lysC,0.73
lysP,0.84
lysR,0.57
lysS,1.97
lysU,1.97
lyxK,NA
maa,0.51
macA,1.01
macB,0.35
maeA,1.6
maeB,1.55
mak,1.7
malE,2.43
malF,0.33
malG,NA
malI,NA
malK,NA
malM,NA
malP,1.86
malQ,0.72
malS,NA
malT,0.36
malX,0.72
malY,0.73
malZ,0.84
manA,2.3
manX,1.03
manY,0.94
manZ,0.81
map,1.96
marA,2.23
marB,0.53
marC,0.7
marR,0.3
matA,NA
matB,NA
matC,NA
matP,1.46
mazE,1.01
mazF,0.39
mazG,1.07
mcbA,NA
mcbR,NA
mcrA,NA
mcrB,1.28
mcrC,NA
mdaB,2.92
mdfA,0.6
mdh,2.07
mdlA,0.23
mdlB,0.3
mdtA,0.73
mdtB,0.38
mdtC,0.33
mdtD,NA
mdtE,NA
mdtF,NA
mdtG,NA
mdtH,NA
mdtI,NA
mdtJ,NA
mdtK,0.93
mdtL,NA
mdtM,NA
mdtN,NA
mdtO,NA
mdtP,NA
melA,NA
melB,NA
melR,NA
menA,0.89
menB,2.37
menC,0.58
menD,0.43
menE,0.33
menF,0.37
menH,0.09
mepA,0.7
metA,1.1
metB,0.26
metC,1.96
metE,2.25
metF,1.24
metG,2.29
metH,1.1
metI,0.41
metJ,2.01
metK,1.98
metL,1.05
metN,1.03
metQ,1.93
metR,1.3
mfd,1.03
mglA,0.5
mglB,1.03
mglC,NA
mgrB,0.67
mgsA,2.41
mgtA,0.56
mgtL,0.61
mhpA,NA
mhpB,NA
mhpC,NA
mhpD,NA
mhpE,NA
mhpF,NA
mhpR,NA
mhpT,NA
miaA,0.08
miaB,1.74
minC,0.43
minD,1.6
minE,1.04
mioC,0.61
mipA,2.61
mlaA,1
mlaB,0.57
mlaC,1.73
mlaD,0.91
mlaE,0.42
mlaF,0.61
mliC,NA
mlrA,NA
mltA,0.71
mltB,2.01
mltC,0.66
mltD,0.32
mltF,0.32
mmuM,0.87
mmuP,NA
mngA,NA
mngB,0.44
mngR,1.19
mnmA,0.92
mnmC,0.68
mnmE,0.9
mnmG,0.83
mntH,0.36
mntR,0.89
moaA,0.27
moaB,1.11
moaC,1
moaD,0.86
moaE,0.79
mobA,0.41
mobB,0.56
mocA,NA
modA,2.02
modB,0.19
modC,0.24
modE,1.88
modF,0.49
moeA,1.63
moeB,0.46
mog,1.58
mokB,NA
mokC,NA
motA,NA
motB,NA
mpaA,0.67
mpl,1.21
mppA,1.13
mprA,2.66
mqo,1.22
mqsA,0.9
mqsR,0.08
mraY,0.42
mraZ,0.06
mrcA,0.68
mrcB,0.54
mrdA,0.27
mrdB,0.35
mreB,1.59
mreC,0.25
mreD,0.21
mrp,1.88
mrr,0.85
msbA,0.54
mscL,1.57
mscM,0.82
mscS,1.32
msrA,1.62
msrB,2.33
msyB,NA
mtfA,0.83
mtgA,0.12
mtlA,0.81
mtlD,1.01
mtlR,0.31
mtn,1.95
mtr,0.43
mug,1.28
mukB,0.68
mukE,0.62
mukF,0.43
murA,1.26
murB,0.69
murC,0.75
murD,0.51
murE,0.51
murF,0.54
murG,0.42
murI,0.73
murJ,0.86
murP,0.3
murQ,1.8
murR,NA
mutH,0.61
mutL,0.17
mutM,0.89
mutS,1.33
mutT,1.56
mutY,0.6
mzrA,0.62
nac,NA
nadA,1.65
nadB,1.5
nadC,2.05
nadD,0.55
nadE,2.79
nadK,0.73
nadR,0.59
nagA,0.64
nagB,2.11
nagC,0.65
nagD,1.48
nagE,0.93
nagK,0.25
nagZ,1.11
nanA,2.69
nanC,NA
nanE,NA
nanK,NA
nanM,NA
nanR,0.83
nanS,NA
nanT,NA
napA,1.08
napB,NA
napC,0.33
napD,NA
napF,NA
napG,NA
napH,NA
narG,NA
narH,NA
narI,NA
narJ,NA
narK,NA
narL,2.8
narP,1.48
